,MSSubClass,MSZoning,LotArea,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,Functional,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
366,20,RL,9500,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,TA,CBlock,609,0,785,1394,GasA,Gd,1394,0,0,1394,3,6,Typ,2,514,0,76,0,0,185,0,0,7,2009,WD,Normal,159000
367,80,RL,9150,Corner,NAmes,Norm,Norm,1Fam,SLvl,6,5,1962,1962,Gable,Tar&Grv,Plywood,Plywood,TA,CBlock,371,0,728,1099,GasA,Gd,1431,0,0,1431,3,6,Typ,1,296,64,110,0,0,0,0,0,12,2008,WD,Normal,165000
368,20,RL,7800,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,HdBoard,HdBoard,TA,PConc,540,0,728,1268,GasA,Gd,1268,0,0,1268,2,7,Typ,1,244,0,98,0,0,0,0,0,3,2010,WD,Normal,132000
369,20,RL,9830,Corner,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,2006,Gable,CompShg,Wd Sdng,Wd Sdng,Gd,CBlock,72,258,733,1063,GasA,Ex,1287,0,0,1287,3,7,Typ,2,576,364,17,0,0,182,0,0,3,2010,WD,Normal,162000
370,60,RL,8121,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,953,953,GasA,Ex,953,711,0,1664,3,7,Typ,2,460,100,40,0,0,0,0,0,1,2006,WD,Normal,172400
371,50,RL,17120,Inside,ClearCr,Feedr,Norm,1Fam,1.5Fin,4,4,1959,1959,Gable,CompShg,WdShing,Plywood,TA,CBlock,0,0,0,0,GasA,TA,1120,468,0,1588,4,7,Min2,2,680,0,59,0,0,0,0,0,7,2008,WD,Normal,134432
372,120,RL,7175,Inside,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1984,1984,Gable,CompShg,Plywood,Plywood,TA,CBlock,623,121,0,744,GasA,TA,752,0,0,752,2,4,Typ,1,264,353,0,0,0,90,0,0,2,2010,WD,Normal,125000
373,20,RL,10634,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1953,1953,Gable,CompShg,MetalSd,MetalSd,TA,PConc,428,180,0,608,GasA,TA,1319,0,0,1319,3,5,Min2,1,270,66,0,0,0,0,0,0,11,2009,WD,Normal,123000
374,60,RL,8200,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,847,847,GasA,Ex,847,1081,0,1928,4,8,Typ,2,434,100,48,0,0,0,0,0,7,2007,WD,Normal,219500
375,30,RL,10020,Inside,Edwards,Norm,Norm,1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,Fa,BrkTil,350,0,333,683,GasA,Gd,904,0,0,904,1,4,Maj1,0,0,0,0,0,0,0,0,0,3,2009,WD,Normal,61000
376,85,RL,8846,CulDSac,CollgCr,Norm,Norm,1Fam,SFoyer,5,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,TA,PConc,298,0,572,870,GasA,Ex,914,0,0,914,2,5,Typ,2,576,0,0,0,0,0,0,0,7,2006,WD,Normal,148000
377,60,FV,11143,Corner,Somerst,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,CemntBd,CmentBd,TA,PConc,0,0,1580,1580,GasA,Ex,1580,886,0,2466,4,8,Typ,2,610,159,214,0,0,0,0,0,12,2007,WD,Normal,340000
378,20,RL,11394,Corner,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,TA,PConc,1445,0,411,1856,GasA,Ex,1856,0,0,1856,1,8,Typ,3,834,113,0,0,0,0,0,0,6,2010,New,Partial,394432
379,60,RL,8123,Inside,Gilbert,RRAn,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,982,982,GasA,Ex,1007,793,0,1800,3,7,Typ,2,463,100,63,0,0,0,0,0,6,2009,WD,Normal,179000
380,50,RL,5000,Inside,SWISU,Norm,Norm,1Fam,1.5Fin,5,6,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,TA,BrkTil,218,0,808,1026,GasA,TA,1026,665,0,1691,3,6,Typ,1,308,0,0,242,0,0,0,0,5,2010,WD,Normal,127000
381,20,FV,7200,Inside,Somerst,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1293,1293,GasA,Ex,1301,0,0,1301,2,5,Typ,2,572,216,121,0,0,0,0,0,8,2006,New,Partial,187750
382,60,RL,9245,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,939,939,GasA,Ex,939,858,0,1797,3,8,Typ,2,639,144,53,0,0,0,0,0,4,2007,WD,Normal,213500
383,45,RH,9000,Corner,SawyerW,Norm,Norm,1Fam,1.5Unf,6,3,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,TA,BrkTil,0,0,784,784,GasA,TA,784,0,0,784,2,5,Typ,2,360,0,0,91,0,0,0,0,10,2009,WD,Normal,76000
384,60,RL,53107,Corner,ClearCr,Feedr,Norm,1Fam,2Story,6,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,TA,PConc,985,0,595,1580,GasA,Ex,1079,874,0,1953,3,9,Typ,2,501,216,231,0,0,0,0,0,6,2007,WD,Normal,240000
385,120,RL,3182,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,TA,PConc,24,0,1232,1256,GasA,Ex,1269,0,0,1269,2,6,Typ,2,430,146,20,0,0,144,0,0,4,2010,WD,Normal,192000
386,50,RL,8410,FR2,Edwards,Feedr,Norm,1Fam,1.5Fin,5,3,1910,1996,Gambrel,CompShg,Wd Sdng,VinylSd,Fa,PConc,0,0,658,658,GasA,TA,658,526,0,1184,5,8,Typ,0,0,0,151,0,0,0,0,0,5,2006,WD,AdjLand,81000
387,80,RL,7200,Inside,Edwards,Norm,Norm,1Fam,SLvl,6,6,1976,1976,Hip,CompShg,MetalSd,MetalSd,TA,CBlock,631,0,410,1041,GasA,Ex,1125,0,0,1125,3,6,Typ,1,352,296,0,0,0,0,0,0,10,2009,WD,Abnorml,125000
388,20,RL,9382,CulDSac,CollgCr,Norm,Norm,1Fam,1Story,7,5,1999,2000,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1468,1468,GasA,Ex,1479,0,0,1479,3,6,Typ,2,577,120,25,0,0,0,0,0,7,2008,WD,Normal,191000
389,60,RL,12474,Inside,NridgHt,Norm,Norm,1Fam,2Story,10,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,TA,PConc,1280,0,402,1682,GasA,Ex,1742,590,0,2332,3,9,Typ,3,846,196,134,0,0,0,0,0,8,2008,New,Partial,426000
390,50,RL,8405,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,5,8,1900,1950,Gable,CompShg,MetalSd,MetalSd,TA,BrkTil,241,391,229,861,GasA,Ex,961,406,0,1367,4,7,Typ,1,384,0,130,112,0,0,0,0,4,2008,WD,Normal,119000
391,60,RL,12209,CulDSac,Mitchel,Norm,Norm,1Fam,2Story,6,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,TA,PConc,690,0,114,804,GasA,Ex,804,1157,0,1961,3,7,Typ,2,560,125,192,0,0,0,0,0,6,2009,WD,Normal,215000
392,20,RL,8339,Inside,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,1959,Gable,CompShg,MetalSd,MetalSd,TA,Slab,0,0,0,0,GasA,TA,882,0,0,882,3,5,Typ,1,294,0,0,0,0,0,0,1200,7,2007,WD,Normal,106500
393,30,RL,7446,Corner,BrkSide,Feedr,Norm,1Fam,1Story,4,5,1941,1950,Gable,CompShg,WdShing,Wd Shng,TA,CBlock,266,0,522,788,GasA,TA,788,0,0,788,2,4,Typ,0,0,0,0,0,0,0,0,0,4,2006,WD,Abnorml,100000
394,50,RL,10134,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,TA,CBlock,0,0,735,735,GasA,Gd,735,299,0,1034,2,5,Typ,1,240,0,39,0,0,0,0,0,7,2007,WD,Normal,109000
395,20,RL,9571,Inside,Edwards,Norm,Norm,1Fam,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,739,0,405,1144,GasA,TA,1144,0,0,1144,3,6,Typ,1,596,44,0,0,0,0,0,0,6,2010,WD,Normal,129000
396,20,RL,7200,Inside,CollgCr,Norm,Norm,1Fam,1Story,5,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,TA,CBlock,777,0,117,894,GasA,TA,894,0,0,894,2,6,Typ,2,600,215,0,0,0,0,0,0,9,2009,WD,Normal,123000
397,60,RL,7590,Inside,NAmes,PosN,Norm,1Fam,2Story,5,5,1962,1962,Gable,CompShg,VinylSd,VinylSd,TA,CBlock,540,0,324,864,GasA,TA,876,936,0,1812,4,8,Typ,1,264,0,168,0,0,0,0,0,7,2007,WD,Normal,169500
398,30,RM,8967,Corner,IDOTRR,Norm,Norm,1Fam,1Story,5,2,1920,1950,Gable,CompShg,MetalSd,MetalSd,Fa,BrkTil,0,0,961,961,GasA,Gd,1077,0,0,1077,2,6,Maj2,1,338,0,0,0,0,0,0,0,11,2007,WD,Abnorml,67000
399,60,FV,8125,Inside,Somerst,Norm,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,TA,PConc,812,0,280,1092,GasA,Ex,1112,438,0,1550,2,7,Typ,2,438,0,168,0,0,0,0,0,10,2009,WD,Normal,241000
400,120,RL,14963,Inside,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1996,1996,Gable,CompShg,BrkFace,BrkFace,TA,PConc,786,0,474,1260,GasA,Ex,1288,0,0,1288,1,4,Typ,2,500,120,30,0,0,224,0,0,12,2008,WD,Normal,245500
401,20,RL,8767,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,TA,PConc,24,0,1286,1310,GasA,Ex,1310,0,0,1310,3,6,Typ,2,400,0,0,0,0,0,0,0,7,2006,New,Partial,164990
402,30,RL,10200,Inside,Sawyer,Norm,Norm,1Fam,1Story,5,8,1940,1997,Gable,CompShg,Wd Sdng,Wd Sdng,TA,PConc,0,0,672,672,GasA,Ex,672,0,0,672,2,4,Typ,1,240,168,0,0,0,0,0,0,8,2008,WD,Normal,108000
403,60,RL,12090,Corner,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1141,1141,GasA,Gd,1165,1098,0,2263,4,10,Typ,2,420,144,123,0,0,0,0,0,7,2006,WD,Abnorml,258000
404,60,RL,10364,Inside,Gilbert,Norm,Norm,1Fam,2Story,6,5,1995,1996,Gable,CompShg,MetalSd,MetalSd,TA,PConc,0,0,806,806,GasA,Gd,806,766,0,1572,3,7,Typ,2,373,0,40,0,0,0,0,0,5,2007,WD,Normal,168000
405,20,RL,9991,Corner,Sawyer,Feedr,Norm,1Fam,1Story,4,4,1976,1993,Gable,CompShg,Plywood,Plywood,TA,CBlock,1116,0,165,1281,GasA,Ex,1620,0,0,1620,3,8,Min1,2,490,120,78,0,0,0,0,0,6,2009,WD,Normal,150000
406,50,RL,10480,Inside,SWISU,Norm,Norm,1Fam,1.5Fin,6,5,1936,1950,Gable,CompShg,MetalSd,MetalSd,TA,BrkTil,0,0,1064,1064,GasA,Ex,1166,0,473,1639,3,6,Maj2,1,240,0,0,0,0,0,0,0,3,2008,WD,Normal,115000
407,70,RL,15576,Inside,Crawfor,Norm,Norm,1Fam,2Story,6,7,1915,1976,Gable,CompShg,Wd Sdng,Plywood,TA,BrkTil,0,0,840,840,GasA,Ex,840,840,0,1680,4,8,Typ,1,308,0,0,160,0,0,0,0,3,2008,WD,Normal,177000
408,60,RL,14154,Corner,NridgHt,Norm,Norm,1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,1063,1063,GasA,Ex,1071,1101,0,2172,3,9,Typ,3,947,192,62,0,0,0,0,0,8,2007,New,Partial,280000
409,60,FV,10800,Inside,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,TA,PConc,789,0,245,1034,GasA,Ex,1050,1028,0,2078,3,8,Typ,3,836,0,102,0,0,0,0,0,4,2008,New,Partial,339750
410,20,RL,9571,Inside,Edwards,Norm,Norm,1Fam,1Story,5,3,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,Fa,CBlock,0,0,1276,1276,GasA,TA,1276,0,0,1276,3,5,Mod,1,350,0,0,0,0,0,0,0,6,2009,COD,Abnorml,60000
411,190,RL,34650,Inside,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,1056,0,0,1056,GasA,TA,1056,0,0,1056,3,5,Typ,2,572,264,0,0,0,0,0,0,1,2006,WD,Normal,145000
412,20,FV,4403,Inside,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2009,Gable,CompShg,MetalSd,MetalSd,TA,PConc,578,0,892,1470,GasA,Ex,1478,0,0,1478,2,7,Typ,2,484,0,144,0,0,0,0,0,6,2010,New,Partial,222000
413,30,RM,8960,Inside,OldTown,Artery,Norm,1Fam,1Story,5,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,TA,CBlock,0,0,1008,1008,GasA,Gd,1028,0,0,1028,2,5,Typ,2,360,0,0,130,0,0,0,0,3,2010,WD,Normal,115000
414,60,RL,11228,CulDSac,SawyerW,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,VinylSd,VinylSd,TA,PConc,50,531,499,1080,GasA,Ex,1080,1017,0,2097,3,9,Typ,3,678,196,187,0,0,0,0,0,12,2008,WD,Normal,228000
415,20,RL,8899,Inside,Gilbert,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,TA,PConc,24,0,1316,1340,GasA,Ex,1340,0,0,1340,3,6,Typ,2,396,100,30,0,0,0,0,0,8,2007,New,Partial,181134
416,60,RL,7844,Inside,Sawyer,Norm,Norm,1Fam,2Story,6,7,1978,1978,Hip,CompShg,HdBoard,HdBoard,TA,CBlock,209,0,463,672,GasA,TA,672,728,0,1400,3,6,Typ,2,440,0,0,0,0,0,0,0,3,2006,WD,Normal,149500
417,70,RL,22420,Inside,Crawfor,Feedr,Norm,1Fam,2Story,6,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,TA,BrkTil,1128,0,242,1370,GasW,TA,1370,1254,0,2624,4,10,Typ,3,864,0,0,0,0,0,0,0,11,2007,WD,Normal,239000
418,50,RL,8160,Inside,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,TA,BrkTil,312,0,444,756,GasA,Fa,756,378,0,1134,3,7,Typ,1,240,0,0,0,0,0,0,0,4,2007,WD,AdjLand,126000
419,20,RL,8450,Inside,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,TA,CBlock,775,0,281,1056,GasA,Ex,1056,0,0,1056,3,6,Typ,1,304,0,85,184,0,0,0,0,7,2010,WD,Normal,142000
420,90,RM,7060,Inside,Mitchel,Norm,Norm,Duplex,SFoyer,7,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,1309,0,35,1344,GasA,Ex,1344,0,0,1344,2,8,Typ,4,784,0,0,0,0,0,0,0,11,2008,WD,Alloca,206300
421,20,RL,16635,FR2,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2000,Gable,CompShg,CemntBd,CmentBd,TA,CBlock,1246,0,356,1602,GasA,Gd,1602,0,0,1602,3,8,Typ,2,529,240,0,0,0,0,0,0,6,2009,WD,Normal,215000
422,20,RL,21750,Inside,Mitchel,Artery,Norm,1Fam,1Story,5,5,1954,1954,Hip,CompShg,HdBoard,HdBoard,TA,CBlock,0,0,988,988,GasA,Ex,988,0,0,988,2,4,Typ,2,520,0,0,0,0,0,0,0,2,2008,WD,Normal,113000
423,60,RL,9200,Inside,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,TA,PConc,986,0,484,1470,GasA,Gd,1470,1160,0,2630,4,8,Typ,3,696,0,66,0,0,0,0,0,6,2008,WD,Normal,315000
424,20,RL,9000,Inside,NAmes,Norm,Norm,1Fam,1Story,6,5,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,616,0,580,1196,GasA,Gd,1196,0,0,1196,2,6,Typ,1,297,0,44,0,0,0,0,0,5,2008,WD,Normal,139000
425,60,RM,3378,Inside,OldTown,Norm,Norm,1Fam,2Story,7,8,1946,1992,Gable,CompShg,HdBoard,HdBoard,Gd,CBlock,0,0,651,651,GasA,Gd,707,682,0,1389,3,6,Typ,1,240,0,0,126,0,0,0,0,9,2009,WD,Normal,135000
426,80,RL,12800,Inside,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,TA,PConc,1518,0,0,1518,GasA,Gd,1644,0,0,1644,2,5,Typ,2,569,80,0,0,0,396,0,0,8,2009,WD,Normal,275000
427,20,RL,8593,Inside,NAmes,Norm,Norm,1Fam,1Story,4,6,1957,1957,Hip,CompShg,MetalSd,MetalSd,TA,CBlock,288,0,619,907,GasA,Ex,907,0,0,907,3,5,Typ,1,352,0,0,0,0,0,0,0,7,2008,WD,Normal,109008
428,20,RL,6762,Inside,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,TA,PConc,664,0,544,1208,GasA,Ex,1208,0,0,1208,2,6,Typ,2,628,105,54,0,0,0,0,0,9,2007,New,Partial,195400
429,20,RL,11457,Corner,Timber,Norm,Norm,1Fam,1Story,6,5,1988,1988,Gable,CompShg,HdBoard,HdBoard,TA,CBlock,1005,0,387,1392,GasA,TA,1412,0,0,1412,3,6,Typ,2,576,0,0,169,0,0,0,0,3,2009,WD,Normal,175000
430,160,RM,1680,Inside,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,TA,CBlock,387,0,96,483,GasA,TA,483,504,0,987,2,4,Typ,1,264,0,0,0,0,0,0,0,7,2008,COD,Abnorml,85400
431,50,RM,5586,Inside,OldTown,Feedr,Norm,1Fam,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,TA,BrkTil,0,0,901,901,GasA,Gd,1088,110,0,1198,4,7,Typ,0,0,0,98,0,0,0,0,0,9,2008,ConLD,Abnorml,79900
432,160,RM,1920,Inside,BrDale,Norm,Norm,TwnhsE,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,TA,CBlock,471,0,294,765,GasA,Ex,765,600,0,1365,2,6,Min1,2,440,240,36,0,0,0,0,0,8,2007,WD,Normal,122500
433,60,RL,10839,Corner,Gilbert,Norm,Norm,1Fam,2Story,6,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,926,926,GasA,Ex,926,678,0,1604,3,7,Typ,2,470,0,36,0,0,0,0,0,7,2008,WD,Normal,181000
434,180,RM,1890,Inside,MeadowV,Norm,Norm,Twnhs,SFoyer,4,7,1972,1972,Gable,CompShg,CemntBd,CmentBd,Gd,CBlock,495,0,135,630,GasA,Gd,630,0,0,630,1,3,Typ,0,0,88,0,0,0,0,0,0,6,2008,WD,Normal,81000
435,60,RL,10667,CulDSac,CollgCr,PosN,Norm,1Fam,2Story,7,6,1996,1996,Gable,CompShg,VinylSd,VinylSd,TA,PConc,385,344,70,799,GasA,Ex,827,834,0,1661,3,6,Typ,2,550,158,61,0,0,0,0,0,4,2009,ConLw,Normal,212000
436,50,RM,4400,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,6,8,1920,1950,Gable,CompShg,Stucco,Stucco,TA,BrkTil,0,0,648,648,GasA,TA,734,384,0,1118,2,6,Typ,2,440,0,0,0,0,0,0,0,10,2006,WD,Normal,116000
437,45,RM,6000,Inside,BrkSide,Norm,Norm,1Fam,1.5Unf,6,7,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,TA,PConc,0,0,884,884,GasA,Gd,904,0,0,904,2,4,Typ,1,180,0,0,105,0,0,0,0,1,2009,WD,Normal,119000
438,30,RL,4280,Inside,Crawfor,Norm,Norm,1Fam,1Story,5,6,1913,2002,Gable,CompShg,WdShing,Stucco,TA,PConc,365,0,75,440,GasA,TA,694,0,0,694,2,4,Typ,1,352,0,0,34,0,0,0,0,3,2007,WD,Normal,90350
439,50,RL,12354,Corner,Edwards,Norm,Norm,1Fam,1.5Fin,6,8,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,TA,BrkTil,0,0,684,684,GasA,Gd,684,512,0,1196,3,7,Typ,2,528,0,46,0,0,0,0,800,8,2009,ConLI,Normal,110000
440,20,RL,15431,Inside,NridgHt,Norm,Norm,1Fam,1Story,10,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,TA,PConc,1767,539,788,3094,GasA,Ex,2402,0,0,2402,2,10,Typ,3,672,0,72,0,0,170,0,0,4,2009,WD,Normal,555000
441,90,RL,12108,Inside,Edwards,Norm,Norm,Duplex,1Story,4,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,TA,CBlock,133,0,1307,1440,GasA,TA,1440,0,0,1440,4,8,Typ,0,0,0,0,0,0,0,0,0,9,2008,WD,Normal,118000
442,50,RM,6240,Inside,BrkSide,Norm,Norm,1Fam,1.5Fin,5,7,1930,1992,Gable,CompShg,MetalSd,MetalSd,TA,PConc,0,0,1078,1078,GasA,TA,1128,445,0,1573,3,8,Typ,2,360,0,0,0,0,0,0,0,6,2008,WD,Normal,162900
443,120,RL,3922,Inside,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,WdShing,Wd Shng,TA,PConc,0,0,1258,1258,GasA,Ex,1258,0,0,1258,2,6,Typ,3,648,144,16,0,0,0,0,0,6,2007,New,Partial,172500
444,60,RL,8750,Inside,CollgCr,Norm,Norm,1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,Gd,PConc,642,0,273,915,GasA,Ex,933,975,0,1908,4,8,Typ,2,493,144,133,0,0,0,0,0,7,2008,WD,Normal,210000
445,20,RL,9855,Corner,Edwards,Norm,Norm,1Fam,1Story,6,5,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,TA,CBlock,0,0,1436,1436,GasA,Fa,1689,0,0,1689,3,7,Typ,2,480,0,0,0,0,0,0,0,11,2009,COD,Normal,127500
446,20,RL,16492,Corner,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,TA,CBlock,247,713,557,1517,GasA,Ex,1888,0,0,1888,2,6,Mod,2,578,0,0,0,0,0,0,0,6,2010,WD,Normal,190000
447,60,RL,11214,Corner,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,930,930,GasA,Gd,956,930,0,1886,4,10,Typ,2,431,89,0,0,0,0,0,0,7,2006,WD,Normal,199900
448,50,RM,8600,Inside,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,TA,BrkTil,0,0,780,780,GasA,TA,780,596,0,1376,3,7,Typ,1,198,0,0,0,0,0,0,0,6,2006,WD,Normal,119500
449,50,RM,6000,Inside,OldTown,Norm,Norm,1Fam,1.5Fin,3,7,1948,2002,Gable,CompShg,MetalSd,MetalSd,Gd,CBlock,331,0,318,649,GasA,Ex,679,504,0,1183,2,6,Typ,1,308,0,176,0,0,0,0,0,6,2007,WD,Normal,120000
450,30,RM,5684,Inside,OldTown,Norm,Norm,1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,TA,BrkTil,0,0,813,813,GasA,Ex,813,0,0,813,2,5,Typ,1,270,0,113,0,0,0,0,0,6,2006,WD,Normal,110000
451,20,RL,70761,Inside,ClearCr,Norm,Norm,1Fam,1Story,7,5,1975,1975,Gable,WdShngl,Plywood,Plywood,TA,CBlock,655,0,878,1533,GasA,TA,1533,0,0,1533,2,5,Typ,2,576,200,54,0,0,0,0,0,12,2006,WD,Normal,280000
452,60,RL,9303,Corner,Timber,Norm,Norm,1Fam,2Story,6,5,1996,1997,Hip,CompShg,VinylSd,VinylSd,TA,PConc,742,0,130,872,GasA,Ex,888,868,0,1756,3,7,Typ,2,422,144,122,0,0,0,0,0,7,2007,WD,Normal,204000
453,60,FV,9000,Inside,Somerst,Norm,Norm,1Fam,2Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,TA,PConc,0,0,768,768,GasA,Ex,786,804,0,1590,3,6,Typ,2,676,0,30,0,0,0,0,0,6,2009,WD,Normal,210000
454,90,RL,9297,Inside,Mitchel,Norm,Norm,Duplex,1Story,5,5,1976,1976,Gable,CompShg,Plywood,Plywood,TA,CBlock,1606,0,122,1728,GasA,TA,1728,0,0,1728,4,8,Typ,2,560,0,0,0,0,0,0,0,7,2006,WD,Family,188000
455,20,RL,9600,Inside,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,TA,CBlock,916,0,326,1242,GasA,Fa,1242,0,0,1242,3,6,Typ,2,528,0,0,0,0,0,0,0,9,2007,WD,Normal,175500
456,70,RM,4571,Inside,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,TA,BrkTil,0,0,624,624,GasA,Fa,624,720,0,1344,4,7,Typ,3,513,0,0,96,0,0,0,0,5,2008,COD,Abnorml,98000
457,20,RL,53227,CulDSac,ClearCr,Norm,Norm,1Fam,1Story,4,6,1954,1994,Flat,Tar&Grv,Plywood,Plywood,TA,CBlock,1116,0,248,1364,GasA,Ex,1663,0,0,1663,2,6,Min1,2,529,224,137,0,0,0,0,0,3,2008,WD,Normal,256000
458,70,RM,5100,Inside,OldTown,Norm,Norm,1Fam,2Story,8,7,1925,1996,Hip,CompShg,Stucco,Wd Shng,Gd,PConc,0,0,588,588,GasA,Fa,833,833,0,1666,3,7,Typ,1,228,192,63,0,0,0,0,0,6,2008,WD,Normal,161000
459,50,RL,7015,Corner,BrkSide,Norm,Norm,1Fam,1.5Fin,5,4,1950,1950,Gable,CompShg,MetalSd,MetalSd,TA,CBlock,185,0,524,709,GasA,TA,979,224,0,1203,3,5,Typ,1,352,0,0,248,0,0,0,0,7,2009,WD,Normal,110000
