Id,MSSubClass,MSZoning,LotArea,LotConfig,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SalePrice
179,30,RM,8520,Inside,5,6,1923,2006,0,0,968,968,968,0,0,968,2,5,2,480,0,0,184,0,0,0,0,7,2007,WD,100000
180,160,FV,2117,Inside,6,5,2000,2000,436,0,320,756,769,756,0,1525,3,5,2,440,0,0,0,0,0,0,0,6,2007,WD,177000
181,70,RL,7588,Inside,7,6,1920,1950,352,0,441,793,901,901,0,1802,4,9,1,216,0,0,40,0,0,0,0,7,2006,WD,200100
182,20,RL,9060,Inside,5,6,1957,2006,0,0,0,0,1340,0,0,1340,3,7,1,252,116,0,0,180,0,0,0,6,2007,WD,120000
183,50,RM,11426,Inside,7,5,2003,2003,0,0,1362,1362,1362,720,0,2082,3,6,2,484,280,238,0,0,0,0,0,6,2008,WD,200000
184,50,RL,7438,Inside,5,8,1908,1991,0,0,504,504,936,316,0,1252,3,5,2,576,104,0,0,0,0,0,0,6,2006,WD,127000
185,75,RM,22950,Inside,10,9,1892,1993,0,0,1107,1107,1518,1518,572,3608,4,12,3,840,0,260,0,0,410,0,0,6,2006,WD,475000
186,80,RL,9947,CulDSac,7,5,1990,1991,611,0,577,1188,1217,0,0,1217,3,6,2,497,168,27,0,0,0,0,0,6,2009,WD,173000
187,50,RL,10410,Inside,5,7,1916,1987,0,0,660,660,808,704,144,1656,3,8,1,180,0,0,0,140,0,0,0,8,2009,WD,135000
188,90,RL,7018,Inside,5,5,1979,1979,1086,0,0,1086,1224,0,0,1224,2,6,2,528,120,0,0,0,0,0,0,6,2009,WD,153337
189,120,RL,4923,Inside,8,5,2001,2002,1153,0,440,1593,1593,0,0,1593,0,5,2,682,0,120,0,0,224,0,0,8,2008,WD,286000
190,70,RL,10570,Inside,8,8,1932,1994,297,0,556,853,1549,1178,0,2727,3,10,2,440,0,74,0,0,0,0,0,12,2007,WD,315000
191,60,RL,7472,CulDSac,7,9,1972,2004,626,0,99,725,725,754,0,1479,4,7,2,484,0,32,0,0,0,0,0,6,2007,WD,184000
192,20,RL,9017,Inside,7,5,1999,1999,560,0,871,1431,1431,0,0,1431,3,6,2,666,0,35,0,0,0,0,0,9,2009,WD,192000
193,160,RM,2522,Inside,7,5,2004,2004,0,0,970,970,970,739,0,1709,3,7,2,380,0,40,0,0,0,0,0,5,2006,WD,130000
194,20,RL,7180,Inside,5,7,1972,1972,390,0,474,864,864,0,0,864,3,5,1,352,0,0,0,0,0,0,0,5,2008,WD,127000
195,160,RL,2280,FR2,6,6,1976,1976,566,0,289,855,855,601,0,1456,3,7,2,440,87,0,0,0,0,0,0,7,2009,WD,148500
196,20,RL,9416,Inside,7,5,2007,2007,1126,0,600,1726,1726,0,0,1726,3,8,3,786,171,138,0,0,266,0,0,9,2007,New,311872
197,75,RL,25419,Corner,8,4,1918,1990,1036,184,140,1360,1360,1360,392,3112,4,8,2,795,0,16,552,0,0,512,0,3,2006,WD,235000
198,75,RM,5520,Corner,6,6,1912,1950,0,0,755,755,929,929,371,2229,5,8,0,0,0,198,30,0,0,0,0,7,2009,WD,104000
199,20,RL,9591,Inside,8,5,2004,2005,1088,0,625,1713,1713,0,0,1713,3,7,3,856,0,26,0,0,170,0,0,1,2009,WD,274900
200,20,RM,8546,Corner,4,5,2003,2004,0,0,1121,1121,1121,0,0,1121,2,5,2,440,132,64,0,0,0,0,0,3,2010,WD,140000
201,20,RL,10125,Inside,6,6,1977,1977,641,279,276,1196,1279,0,0,1279,3,6,2,473,238,83,0,0,0,0,0,2,2008,WD,171500
202,50,RL,7000,Corner,6,6,1924,1950,617,0,0,617,865,445,0,1310,2,6,1,398,0,0,126,0,0,0,0,5,2006,COD,112000
203,120,RM,4438,Inside,6,5,2004,2004,662,0,186,848,848,0,0,848,1,3,2,420,149,0,0,0,0,0,0,1,2008,WD,149000
204,50,RM,3500,Inside,5,7,1947,1950,312,0,408,720,720,564,0,1284,2,5,1,240,0,35,0,0,0,0,0,4,2009,WD,110000
205,20,RL,11851,Corner,7,5,1990,1990,0,0,1424,1424,1442,0,0,1442,3,5,2,500,0,34,0,508,0,0,0,5,2009,WD,180500
206,20,RL,13673,CulDSac,5,5,1962,1962,0,0,1140,1140,1696,0,0,1696,3,8,1,349,0,30,0,0,0,0,0,3,2007,WD,143900
207,20,RL,12493,Inside,4,5,1960,1960,419,306,375,1100,1100,0,0,1100,3,6,1,312,355,0,0,0,0,0,0,4,2008,WD,141000
208,60,RL,14364,Inside,7,5,1988,1989,1065,0,92,1157,1180,882,0,2062,3,7,2,454,60,55,0,0,154,0,0,4,2007,WD,277000
209,20,RL,8250,Inside,6,7,1964,1964,787,0,305,1092,1092,0,0,1092,3,6,2,504,0,0,0,0,0,0,0,7,2008,WD,145000
210,30,RL,5604,Inside,5,6,1925,1950,468,0,396,864,864,0,0,864,2,5,0,0,0,0,96,0,0,0,0,4,2008,WD,98000
211,20,RL,10420,Corner,6,5,2009,2009,36,0,1176,1212,1212,0,0,1212,3,6,2,460,100,22,0,0,0,0,0,3,2010,WD,186000
212,60,FV,8640,Inside,7,5,2009,2009,822,0,78,900,932,920,0,1852,3,7,2,644,168,108,0,0,0,0,0,7,2009,New,252678
213,20,RL,13568,CulDSac,5,5,1995,1995,716,0,274,990,990,0,0,990,3,5,2,576,224,0,0,0,0,0,0,7,2006,WD,156000
214,60,RL,10900,FR2,6,7,1977,1977,378,0,311,689,689,703,0,1392,3,6,1,299,0,36,0,0,0,0,450,3,2010,WD,161750
215,20,RL,10011,Inside,5,6,1957,1996,360,0,710,1070,1236,0,0,1236,2,6,1,447,0,0,0,0,0,0,0,5,2006,WD,134450
216,20,RL,8450,Inside,7,5,2004,2004,946,0,490,1436,1436,0,0,1436,3,8,2,484,139,98,0,0,0,0,0,4,2008,WD,210000
217,70,RM,9906,Inside,4,4,1925,1950,0,0,686,686,810,518,0,1328,3,8,1,210,0,172,60,0,0,0,0,9,2006,WD,107000
218,50,RL,15660,Corner,7,9,1939,2006,341,0,457,798,1137,817,0,1954,3,8,2,431,0,119,150,0,0,0,0,5,2008,WD,311500
219,120,RL,3010,Inside,7,5,2005,2006,16,0,1232,1248,1248,0,0,1248,2,5,2,438,108,0,0,0,0,0,0,3,2006,New,167240
220,20,RL,8990,Inside,7,5,2006,2006,0,0,1498,1498,1498,0,0,1498,2,5,2,675,351,33,0,0,0,0,0,4,2006,New,204900
221,60,RL,8068,Inside,6,5,2002,2002,0,0,1010,1010,1010,1257,0,2267,4,8,2,390,120,46,0,0,0,0,0,12,2009,ConLI,200000
222,60,RL,11475,Inside,6,6,1975,1975,550,0,163,713,811,741,0,1552,3,6,2,434,209,208,0,0,0,0,0,2,2006,WD,179900
223,20,RL,10500,FR2,4,6,1971,1971,524,180,160,864,864,0,0,864,2,4,2,576,216,0,0,0,0,0,0,3,2009,WD,97000
224,20,RL,13472,Inside,10,5,2003,2003,56,0,2336,2392,2392,0,0,2392,3,8,3,968,248,105,0,0,0,0,0,6,2009,WD,386250
225,160,RM,1680,Inside,5,5,1971,1971,0,0,630,630,630,672,0,1302,3,6,1,280,0,0,0,0,0,0,0,5,2009,COD,112000
226,60,RL,9950,Inside,7,5,1995,1995,565,0,638,1203,1214,1306,0,2520,4,9,3,721,224,114,0,0,0,0,0,6,2007,WD,290000
227,160,RM,1869,Inside,6,6,1970,1970,321,0,162,483,483,504,0,987,2,5,1,280,0,0,0,0,0,0,0,9,2008,WD,106000
228,20,RL,8521,FR2,5,5,1967,1967,842,0,70,912,912,0,0,912,3,5,1,336,0,0,0,0,0,0,0,5,2010,WD,125000
229,120,RL,3182,Inside,7,5,2005,2006,16,0,1357,1373,1555,0,0,1555,2,7,2,430,143,20,0,0,0,0,0,5,2009,WD,192500
230,20,RL,8760,Inside,6,6,1959,1959,0,0,1194,1194,1194,0,0,1194,3,6,1,312,0,0,120,0,0,0,0,4,2010,WD,148000
231,60,RL,15138,Inside,8,5,1995,1996,689,0,773,1462,1490,1304,0,2794,4,9,3,810,0,146,202,0,0,0,0,7,2009,WD,403000
232,160,RM,1680,Inside,6,5,1972,1972,0,0,483,483,483,504,0,987,2,5,1,288,0,0,0,0,0,0,0,6,2006,WD,94500
233,20,RL,10650,Corner,5,6,1976,1976,182,712,0,894,894,0,0,894,3,5,1,308,365,0,0,0,0,0,0,2,2010,WD,128200
234,60,RL,7851,Inside,6,5,2002,2002,625,0,235,860,860,1100,0,1960,4,8,2,440,288,48,0,0,0,0,0,5,2010,WD,216500
235,160,RM,1680,Inside,6,3,1971,1971,358,0,125,483,483,504,0,987,2,5,1,264,0,0,0,0,0,0,0,8,2008,WD,89500
236,20,RL,8773,FR2,7,5,2004,2004,24,0,1390,1414,1414,0,0,1414,3,6,2,494,132,105,0,0,0,0,0,5,2010,WD,185500
237,60,RL,9453,CulDSac,7,7,1993,2003,402,0,594,996,1014,730,0,1744,3,7,2,457,370,70,0,238,0,0,0,2,2010,WD,194500
238,20,RL,12030,Inside,8,5,2007,2007,0,0,1694,1694,1694,0,0,1694,3,7,3,818,168,228,0,0,0,0,0,12,2007,New,318000
239,50,RL,8741,Inside,6,4,1945,1950,94,0,641,735,798,689,0,1487,3,7,1,220,0,140,0,0,0,0,0,4,2010,WD,113000
240,20,FV,9000,Inside,8,5,2008,2008,1078,0,488,1566,1566,0,0,1566,3,7,2,750,144,168,0,0,0,0,0,4,2010,WD,262500
241,30,RM,3880,Inside,5,9,1945,1997,329,0,357,686,866,0,0,866,2,4,0,0,58,42,0,0,0,0,0,8,2007,WD,110500
242,50,RM,5000,Corner,5,4,1900,1950,0,0,540,540,889,551,0,1440,3,6,1,352,0,0,77,0,0,0,0,4,2006,WD,79000
243,160,RL,10762,Corner,6,6,1980,1980,0,0,626,626,626,591,0,1217,3,6,1,288,0,28,0,0,0,0,0,4,2009,WD,120000
244,60,RL,8880,Inside,7,5,1994,2002,695,0,253,948,1222,888,0,2110,3,8,2,463,0,130,0,0,0,0,0,5,2010,WD,205000
245,20,RL,10400,Inside,7,5,1988,1988,929,0,916,1845,1872,0,0,1872,3,6,2,604,197,39,0,0,0,0,0,6,2006,WD,241500
246,190,RM,9142,Inside,6,8,1910,1950,0,0,1020,1020,908,1020,0,1928,4,9,1,440,0,60,112,0,0,0,0,4,2006,WD,137000
247,20,RL,11310,Inside,6,5,1954,1954,0,0,1367,1367,1375,0,0,1375,2,5,2,451,0,30,0,0,0,0,0,6,2006,WD,140000
248,60,RL,11317,Inside,7,5,2003,2003,0,0,840,840,840,828,0,1668,3,8,2,500,144,68,0,0,0,0,0,9,2007,WD,180000
249,50,RL,159000,CulDSac,6,7,1958,2006,697,0,747,1444,1444,700,0,2144,4,7,2,389,0,98,0,0,0,0,500,6,2007,WD,277000
250,30,RL,5350,Inside,3,2,1940,1966,0,0,728,728,1306,0,0,1306,3,6,0,0,263,0,0,0,0,0,450,5,2010,WD,76500
251,120,RM,4750,Inside,8,5,2006,2007,1573,0,0,1573,1625,0,0,1625,2,5,2,538,123,0,0,0,153,0,0,12,2007,WD,235000
252,60,RL,8366,Inside,6,5,2004,2004,0,0,798,798,798,842,0,1640,3,6,2,520,138,45,0,0,0,0,0,12,2008,WD,173000
253,80,RL,9350,Inside,6,7,1964,1991,270,580,452,1302,1302,0,0,1302,3,7,1,309,333,0,0,0,0,0,0,10,2007,CWD,158000
254,20,RL,8400,Inside,5,6,1957,1957,922,0,392,1314,1314,0,0,1314,3,5,1,294,250,0,0,0,0,0,0,6,2010,WD,145000
255,60,RL,8738,Inside,7,5,1999,1999,0,0,975,975,1005,1286,0,2291,4,8,2,429,192,0,0,0,0,0,0,2,2006,WD,230000
256,60,FV,8791,Inside,6,5,2003,2003,503,0,361,864,864,864,0,1728,3,7,2,673,216,56,0,0,0,0,0,5,2008,WD,207500
257,20,RL,8814,Inside,7,5,2006,2006,1334,0,270,1604,1604,0,0,1604,3,8,2,660,123,110,0,0,0,0,0,3,2009,WD,220000
258,60,RL,12435,Inside,7,5,2001,2001,361,0,602,963,963,829,0,1792,3,7,2,564,0,96,0,245,0,0,0,5,2008,WD,231500
259,20,RM,12702,Inside,5,5,1956,1956,0,0,0,0,882,0,0,882,2,4,1,308,0,45,0,0,0,0,0,12,2008,WD,97000
260,80,RL,19296,Corner,6,5,1962,1962,672,690,0,1362,1382,0,0,1382,3,6,2,884,0,0,252,0,0,0,0,5,2009,WD,176000
261,60,RL,9588,Inside,8,5,2007,2007,0,0,1482,1482,1482,1092,0,2574,3,10,3,868,0,148,0,0,0,0,0,11,2007,New,276000
262,80,RL,8471,Corner,6,7,1977,1995,506,0,0,506,1212,0,0,1212,3,6,2,492,292,12,0,0,0,0,0,7,2006,WD,151000
263,50,RM,5500,Corner,5,7,1929,2001,234,692,0,926,926,0,390,1316,3,6,2,484,0,0,0,0,0,0,0,4,2010,WD,130000
264,30,RM,5232,Inside,5,5,1925,2004,0,0,680,680,764,0,0,764,2,4,2,504,0,0,0,0,0,0,0,6,2008,WD,73000
265,20,RL,12090,Inside,6,6,1981,1981,588,228,606,1422,1422,0,0,1422,3,7,2,576,276,0,0,0,0,0,0,6,2008,WD,175500
266,60,RL,11207,FR2,6,5,1997,1997,714,0,88,802,802,709,0,1511,3,8,2,413,95,75,0,0,0,0,0,6,2006,WD,185000
267,75,RL,8400,Inside,5,8,1939,1997,378,0,342,720,1052,720,420,2192,4,8,1,240,262,24,0,0,0,0,0,7,2008,WD,179500
268,30,RM,6900,Inside,5,6,1940,1955,403,125,212,740,778,0,0,778,2,4,1,924,0,25,0,0,0,0,0,2,2008,WD,120500
269,20,RL,7917,Corner,6,7,1976,1976,751,0,392,1143,1113,0,0,1113,3,6,1,504,370,30,0,0,0,0,0,5,2007,WD,148000
270,60,FV,10728,Inside,8,5,2006,2006,0,0,1095,1095,1095,844,0,1939,3,8,3,1053,192,51,0,0,0,0,0,8,2006,New,266000
271,20,RL,39104,CulDSac,7,7,1954,2005,226,1063,96,1385,1363,0,0,1363,2,5,2,439,81,0,0,0,0,0,0,4,2008,WD,241500
272,60,RL,11764,CulDSac,8,7,1999,2007,524,0,628,1152,1164,1106,0,2270,4,9,3,671,132,57,0,0,0,0,0,4,2010,WD,290000
273,20,RL,9600,Inside,6,6,1958,1988,620,620,0,1240,1632,0,0,1632,3,6,1,338,289,0,0,0,0,0,0,4,2009,WD,139000
274,20,RL,8314,Corner,5,7,1982,1982,546,0,270,816,816,0,0,816,2,5,1,264,168,0,0,0,0,0,0,6,2007,WD,124500
275,50,RL,7264,Inside,7,7,1925,2007,0,0,952,952,952,596,0,1548,3,5,2,672,74,0,0,0,144,0,0,10,2009,WD,205000
276,20,RL,9196,Inside,7,5,2003,2003,0,0,1560,1560,1560,0,0,1560,3,7,2,573,100,150,0,0,0,0,0,4,2010,WD,201000
277,20,RL,19138,Corner,4,5,1951,1951,120,0,744,864,864,0,0,864,2,4,2,400,0,0,0,0,0,0,0,6,2010,WD,141000
278,20,RL,14450,Inside,9,5,2006,2007,0,0,2121,2121,2121,0,0,2121,3,8,3,732,124,98,0,0,142,0,0,5,2007,New,415298
279,60,RL,10005,Inside,7,5,1977,1977,392,0,768,1160,1156,866,0,2022,4,8,2,505,288,117,0,0,0,0,0,3,2008,WD,192000
280,60,RL,11287,Inside,7,6,1989,1989,421,0,386,807,1175,807,0,1982,3,7,2,575,0,84,0,196,0,0,0,1,2007,WD,228500
281,20,FV,7200,Inside,6,5,2006,2006,905,0,357,1262,1262,0,0,1262,2,5,2,572,0,120,0,0,0,0,0,5,2006,New,185000
282,120,RL,5063,Inside,7,5,2007,2008,904,0,410,1314,1314,0,0,1314,2,6,2,626,172,62,0,0,0,0,0,4,2009,ConLw,207500
283,20,RL,9612,Inside,8,5,2008,2009,0,0,1468,1468,1468,0,0,1468,3,6,3,898,210,150,0,0,0,0,0,12,2009,New,244600
284,120,RL,8012,Inside,6,5,1992,1992,430,0,1145,1575,1575,0,0,1575,2,5,2,529,0,0,52,0,0,0,0,7,2007,WD,179200
285,160,FV,4251,Inside,7,5,2006,2007,0,0,625,625,625,625,0,1250,2,5,2,528,0,54,0,0,0,0,0,6,2007,New,164700
286,50,RL,9786,Inside,6,7,1962,1981,600,0,312,912,1085,649,0,1734,3,7,2,440,0,0,0,0,128,0,0,6,2006,WD,159000
287,20,RL,8125,Corner,4,4,1971,1971,614,0,244,858,858,0,0,858,3,5,0,0,0,0,0,0,0,0,0,6,2006,WD,88000
288,20,RL,9819,Inside,5,5,1967,1967,450,0,432,882,900,0,0,900,3,5,1,280,0,0,0,0,0,0,0,2,2010,WD,122000
289,70,RL,8730,Inside,6,7,1915,2003,0,0,698,698,698,698,0,1396,3,7,1,384,0,0,0,0,259,0,0,7,2007,WD,153575
290,60,RL,15611,Inside,8,5,2006,2006,0,0,1079,1079,1079,840,0,1919,3,8,2,685,0,51,0,0,0,0,0,7,2006,New,233230
291,190,RL,5687,Inside,5,6,1912,2000,210,0,570,780,936,780,0,1716,6,9,0,0,0,184,0,0,0,0,0,3,2008,WD,135900
292,50,RL,11409,Inside,5,4,1949,2008,292,0,476,768,1148,568,0,1716,3,8,1,281,0,0,0,0,160,0,0,1,2009,WD,131000
293,60,RL,16659,Corner,7,7,1977,1994,795,0,0,795,1468,795,0,2263,3,9,2,539,0,250,0,0,0,0,0,3,2006,WD,235000
294,20,RL,9600,Inside,6,5,1953,1953,1285,0,131,1416,1644,0,0,1644,3,7,2,418,110,0,0,0,0,0,0,10,2009,WD,167000
295,80,RL,7937,CulDSac,6,6,1984,1984,819,0,184,1003,1003,0,0,1003,3,6,2,588,120,0,0,0,0,0,0,3,2006,WD,142500
296,50,RM,13710,Inside,5,5,1950,1950,420,0,490,910,910,648,0,1558,4,6,1,282,289,0,0,0,0,0,0,6,2007,WD,152000
297,60,FV,7399,Inside,7,5,1997,1998,649,0,326,975,975,975,0,1950,3,7,2,576,0,10,0,0,198,0,0,6,2007,WD,239000
298,60,RL,11700,Inside,6,6,1968,1968,384,175,143,702,1041,702,0,1743,3,7,2,539,224,0,0,0,0,0,0,6,2007,WD,175000
299,20,RL,14000,Inside,6,8,1950,2004,0,0,1092,1092,1152,0,0,1152,3,6,1,300,0,36,0,0,0,0,0,8,2009,WD,158500
300,190,RL,15750,Corner,5,5,1953,1953,841,0,324,1165,1336,0,0,1336,2,5,1,375,0,0,0,0,0,0,0,6,2006,WD,157000
301,60,RL,16226,Inside,8,5,1998,1999,281,0,747,1028,1210,1242,0,2452,4,9,2,683,208,50,0,0,0,0,0,5,2007,WD,267000
302,20,RL,13704,Corner,7,5,2001,2002,0,0,1541,1541,1541,0,0,1541,3,6,3,843,468,81,0,0,0,0,0,1,2006,WD,205000
303,20,RL,9800,Corner,5,7,1972,1972,894,0,0,894,894,0,0,894,3,5,2,552,256,0,0,0,0,0,0,7,2006,WD,149900
304,75,RM,18386,Inside,7,9,1880,2002,0,0,1470,1470,1675,1818,0,3493,3,10,3,870,302,0,0,0,0,0,0,5,2008,WD,295000
305,20,RL,10386,Inside,8,5,2004,2005,1464,0,536,2000,2000,0,0,2000,3,8,3,888,168,0,0,0,0,0,0,7,2007,WD,305900
306,60,RL,13474,Inside,7,5,1990,1991,700,0,0,700,1122,1121,0,2243,4,8,3,746,127,44,224,0,0,0,0,6,2007,WD,225000
307,50,RM,7920,Inside,6,7,1920,1950,0,0,319,319,1035,371,0,1406,3,6,0,0,0,144,0,0,0,0,0,3,2008,WD,89500
308,30,RL,12342,Inside,4,5,1940,1950,262,0,599,861,861,0,0,861,1,4,2,539,158,0,0,0,0,0,0,3,2009,WD,82500
309,20,RL,12378,Inside,9,5,2003,2004,1274,0,622,1896,1944,0,0,1944,3,8,3,708,208,175,0,0,0,0,0,11,2006,WD,360000
310,60,RL,7685,Inside,6,5,1993,1994,518,0,179,697,697,804,0,1501,3,6,2,420,190,63,0,0,0,0,0,5,2006,WD,165600
311,20,RL,8000,Inside,6,6,1948,2002,680,0,292,972,972,0,0,972,2,5,1,240,0,0,0,0,0,0,0,5,2009,WD,132000
312,190,RM,7800,Inside,5,7,1939,1950,507,0,286,793,793,325,0,1118,3,5,2,410,0,0,0,0,271,0,0,5,2006,WD,119900
313,20,RL,215245,Inside,7,5,1965,1965,1236,820,80,2136,2036,0,0,2036,3,8,2,513,0,0,0,0,0,0,0,6,2009,WD,375000
314,70,RM,9600,Inside,7,7,1925,1990,16,0,712,728,832,809,0,1641,3,6,2,546,0,0,234,0,0,0,0,8,2006,WD,178000
315,60,RL,7795,Inside,7,5,2004,2005,425,0,291,716,716,716,0,1432,3,6,2,432,100,51,0,0,0,0,0,7,2009,WD,188500
316,60,RL,13005,Corner,7,7,1980,1980,692,0,153,845,1153,1200,0,2353,4,10,2,484,288,195,0,0,0,0,0,8,2009,WD,260000
317,60,FV,9000,Inside,8,5,2006,2006,0,0,1088,1088,1088,871,0,1959,3,8,3,1025,208,46,0,0,0,0,0,12,2007,WD,270000
318,60,RL,9900,Inside,7,5,1993,1993,987,0,360,1347,1372,1274,0,2646,4,9,3,656,340,60,144,0,0,0,0,4,2009,WD,260000
319,80,RL,14115,Inside,7,5,1980,1980,1036,0,336,1372,1472,0,0,1472,3,6,2,588,233,48,0,0,0,0,0,6,2009,WD,187500
320,60,RL,16259,Corner,9,5,2006,2006,0,0,1249,1249,1249,1347,0,2596,4,9,3,840,240,154,0,0,0,0,0,9,2006,New,342643
321,60,RL,12099,Inside,8,5,2004,2004,970,0,166,1136,1136,1332,0,2468,4,10,3,872,184,154,0,0,0,0,0,6,2007,WD,354000
322,60,RL,10380,Inside,7,5,1986,1987,28,1474,0,1502,1553,1177,0,2730,4,8,2,576,201,96,0,0,0,0,0,8,2007,WD,301000
323,20,RM,5820,Inside,3,8,1955,2005,256,0,906,1162,1163,0,0,1163,3,6,1,220,142,98,0,0,0,0,0,7,2006,WD,126175
324,80,RL,11275,Corner,7,7,1967,2007,0,0,710,710,1898,1080,0,2978,5,11,2,564,240,0,0,0,0,0,0,6,2010,WD,242000
325,45,RM,5000,Inside,5,6,1941,1950,116,0,604,720,803,0,0,803,2,5,2,360,0,0,244,0,0,0,0,12,2007,WD,87000
326,120,RL,10846,CulDSac,8,5,1993,1993,1619,0,100,1719,1719,0,0,1719,1,6,2,473,122,30,0,0,0,0,0,5,2008,Con,324000
327,20,RL,11600,Inside,6,5,1960,1960,565,0,818,1383,1383,0,0,1383,3,7,1,292,0,45,0,0,0,0,0,4,2006,WD,145250
328,75,RL,11888,Inside,6,6,1916,1994,0,0,844,844,1445,689,0,2134,5,10,2,441,0,60,268,0,0,0,0,7,2009,WD,214500
329,70,RM,6402,Corner,5,5,1920,1950,0,0,596,596,596,596,0,1192,3,6,1,189,0,0,137,0,0,0,0,7,2009,WD,78000
330,90,RL,10624,Inside,5,4,1964,1964,40,264,1424,1728,1728,0,0,1728,6,10,1,352,155,0,0,0,0,0,0,11,2007,WD,119000
331,20,RL,8176,Inside,5,6,1958,1992,846,0,210,1056,1056,0,0,1056,3,6,1,308,0,0,0,0,0,0,0,8,2007,WD,139000
332,20,RL,10655,Inside,8,5,2003,2004,1124,479,1603,3206,1629,0,0,1629,3,7,3,880,0,0,0,0,0,0,0,10,2009,WD,284000
333,120,RM,8198,FR3,7,5,2004,2004,720,0,638,1358,1358,0,0,1358,2,6,2,484,192,30,0,0,0,0,0,7,2008,WD,207000
334,60,RL,9042,Inside,6,5,1998,1998,828,0,115,943,943,695,0,1638,3,7,2,472,100,38,0,0,0,0,0,7,2008,WD,192000
335,190,RL,164660,Corner,5,6,1965,1965,1249,147,103,1499,1619,167,0,1786,3,7,2,529,670,0,0,0,0,0,700,8,2008,WD,228950
336,20,RL,14157,Corner,9,5,2005,2006,1249,0,673,1922,1922,0,0,1922,3,8,3,676,178,51,0,0,0,0,0,7,2007,WD,377426
337,20,RL,9135,Inside,7,5,2002,2003,810,0,726,1536,1536,0,0,1536,3,7,2,532,192,74,0,0,0,0,0,12,2008,WD,214000
338,20,RL,14145,Corner,7,7,1984,1998,213,0,995,1208,1621,0,0,1621,3,8,2,440,108,45,0,0,0,0,400,5,2006,WD,202500
339,20,RL,12400,Inside,6,7,1958,1998,585,0,630,1215,1215,0,0,1215,3,6,1,297,0,0,0,0,234,0,0,6,2009,WD,155000
340,60,RL,14191,Inside,8,5,2002,2002,0,0,967,967,993,915,0,1908,4,9,2,431,135,0,0,0,0,0,0,4,2010,WD,202900
341,20,RH,8400,Inside,4,4,1950,1950,0,0,721,721,841,0,0,841,2,4,1,294,250,0,24,0,0,0,0,9,2009,WD,82000
342,90,RL,8544,Inside,3,4,1949,1950,0,0,0,0,1040,0,0,1040,2,6,2,400,0,0,0,0,0,0,0,5,2006,WD,87500
343,120,RL,8849,Inside,9,5,2005,2005,28,0,1656,1684,1684,0,0,1684,2,6,2,564,495,72,0,0,0,0,0,7,2008,WD,266000
344,160,RM,2592,Inside,5,3,1976,1976,129,232,175,536,536,576,0,1112,3,4,1,336,182,0,0,0,0,0,0,4,2010,WD,85000
345,50,RL,6435,Inside,6,5,1939,1950,0,0,972,972,972,605,0,1577,3,6,1,312,0,0,0,0,0,0,0,10,2006,WD,140200
346,20,RL,12772,CulDSac,6,8,1960,1998,498,0,460,958,958,0,0,958,2,5,1,301,0,0,0,0,0,0,15500,4,2007,WD,151500
347,20,RL,17600,Inside,6,5,1960,1960,1270,0,208,1478,1478,0,0,1478,3,6,2,498,0,40,0,0,0,0,0,12,2009,WD,157500
348,160,RL,2448,Inside,7,5,2003,2004,573,0,191,764,764,862,0,1626,2,6,2,474,0,27,0,0,0,0,0,10,2008,WD,154000
349,60,RL,20431,Inside,9,5,2005,2006,1410,0,438,1848,1848,880,0,2728,4,10,3,706,0,0,0,0,0,0,0,4,2006,New,437154
350,120,RL,7820,Inside,9,5,2007,2007,0,0,1869,1869,1869,0,0,1869,2,6,2,617,210,54,0,0,0,0,0,12,2007,New,318061
351,120,RL,5271,Inside,7,5,1986,1986,1082,0,371,1453,1453,0,0,1453,2,6,2,445,0,80,0,0,184,0,0,12,2006,WD,190000
352,50,RL,9084,Inside,5,6,1941,1950,236,380,0,616,616,495,0,1111,3,5,1,200,48,0,0,0,0,0,0,3,2008,ConLw,95000
353,30,RM,8520,Inside,6,8,1928,2003,0,0,624,624,720,0,0,720,2,5,2,484,106,0,0,0,0,0,0,5,2010,WD,105900
354,50,RL,8400,Inside,6,5,1940,2000,388,0,552,940,1192,403,0,1595,2,6,1,240,0,0,108,0,0,0,0,6,2006,WD,140000
355,20,RL,11249,Inside,6,5,1995,1995,334,544,322,1200,1200,0,0,1200,3,6,2,521,0,26,0,0,0,0,0,8,2007,WD,177500
356,20,RL,9248,Inside,6,6,1992,1992,560,0,598,1158,1167,0,0,1167,3,6,2,400,120,26,0,0,0,0,0,7,2009,WD,173000
357,120,RM,4224,Inside,5,5,1976,1976,874,0,268,1142,1142,0,0,1142,3,6,2,528,536,90,0,0,0,0,0,8,2007,WD,134000
358,80,RL,6930,Inside,5,4,1958,1958,300,294,468,1062,1352,0,0,1352,3,6,1,288,168,0,294,0,0,0,0,7,2006,WD,130000
359,60,RL,12011,CulDSac,8,5,1998,1998,956,0,130,1086,1086,838,0,1924,3,7,2,592,208,75,0,0,374,0,0,6,2006,WD,280000
360,85,RL,7540,CulDSac,6,6,1978,1978,773,0,115,888,912,0,0,912,2,5,2,470,0,0,0,0,192,0,0,6,2007,WD,156000
